"";"Starost";"Izobrazba";"Spol";"Leto";"Odstotki"
"75";"Starost 18+";"Srednješolska poklicna";"Moški";2010;12,5
"76";"Starost 18+";"Srednješolska poklicna";"Ženske";2010;15,4
"77";"Starost 18+";"Srednješolska strokovna, splošna";"Moški";2010;7,1
"78";"Starost 18+";"Srednješolska strokovna, splošna";"Ženske";2010;8,5
"79";"Starost 18+";"Višješolska, visokošolska";"Moški";2010;3,5
"80";"Starost 18+";"Višješolska, visokošolska";"Ženske";2010;3,1
"81";"Starost 18-64";"Osnovnošolska ali manj";"Moški";2010;20
"82";"Starost 18-64";"Osnovnošolska ali manj";"Ženske";2010;23
"83";"Starost 18-64";"Srednješolska poklicna";"Moški";2010;12,8
"84";"Starost 18-64";"Srednješolska poklicna";"Ženske";2010;13,5
"85";"Starost 18-64";"Srednješolska strokovna, splošna";"Moški";2010;7,7
"86";"Starost 18-64";"Srednješolska strokovna, splošna";"Ženske";2010;8,5
"87";"Starost 18-64";"Višješolska, visokošolska";"Moški";2010;4,1
"88";"Starost 18-64";"Višješolska, visokošolska";"Ženske";2010;3,3
"89";"Starost 65+";"Osnovnošolska ali manj";"Moški";2010;25,4
"90";"Starost 65+";"Osnovnošolska ali manj";"Ženske";2010;44
"91";"Starost 65+";"Srednješolska poklicna";"Moški";2010;10,2
"92";"Starost 65+";"Srednješolska poklicna";"Ženske";2010;23,4
"93";"Starost 65+";"Srednješolska strokovna, splošna";"Moški";2010;3,2
"94";"Starost 65+";"Srednješolska strokovna, splošna";"Ženske";2010;8,6
"95";"Starost 65+";"Višješolska, visokošolska";"Moški";2010;1,2
"96";"Starost 65+";"Višješolska, visokošolska";"Ženske";2010;1,9
"97";"Starost 16+";"Osnovnošolska ali manj";"Moški";2011;21,6
"98";"Starost 16+";"Osnovnošolska ali manj";"Ženske";2011;29,4
"99";"Starost 16+";"Srednješolska poklicna";"Moški";2011;14,2
"100";"Starost 16+";"Srednješolska poklicna";"Ženske";2011;18,6
"101";"Starost 16+";"Srednješolska strokovna, splošna";"Moški";2011;7,3
"102";"Starost 16+";"Srednješolska strokovna, splošna";"Ženske";2011;9,7
"103";"Starost 16+";"Višješolska, visokošolska";"Moški";2011;3,7
"104";"Starost 16+";"Višješolska, visokošolska";"Ženske";2011;2,8
"105";"Starost 18+";"Osnovnošolska ali manj";"Moški";2011;23
"106";"Starost 18+";"Osnovnošolska ali manj";"Ženske";2011;30,9
"107";"Starost 18+";"Srednješolska poklicna";"Moški";2011;14,2
"108";"Starost 18+";"Srednješolska poklicna";"Ženske";2011;18,6
"109";"Starost 18+";"Srednješolska strokovna, splošna";"Moški";2011;7,3
"110";"Starost 18+";"Srednješolska strokovna, splošna";"Ženske";2011;9,7
"111";"Starost 18+";"Višješolska, visokošolska";"Moški";2011;3,7
"112";"Starost 18+";"Višješolska, visokošolska";"Ženske";2011;2,8
"113";"Starost 18-64";"Osnovnošolska ali manj";"Moški";2011;21,9
"114";"Starost 18-64";"Osnovnošolska ali manj";"Ženske";2011;21,5
"115";"Starost 18-64";"Srednješolska poklicna";"Moški";2011;14,6
"116";"Starost 18-64";"Srednješolska poklicna";"Ženske";2011;16,6
"117";"Starost 18-64";"Srednješolska strokovna, splošna";"Moški";2011;7,8
"118";"Starost 18-64";"Srednješolska strokovna, splošna";"Ženske";2011;9,6
"119";"Starost 18-64";"Višješolska, visokošolska";"Moški";2011;4,3
"120";"Starost 18-64";"Višješolska, visokošolska";"Ženske";2011;2,9
"121";"Starost 65+";"Osnovnošolska ali manj";"Moški";2011;28,7
"122";"Starost 65+";"Osnovnošolska ali manj";"Ženske";2011;44,1
